id,entry_date,exit_date,long_strike,short_strike,entry_price,exit_price,pnl,pnl_pct,exit_reason,regime_at_entry,dte_at_entry,holding_days
1,2023-12-13,2024-01-23,14,19,1.83,0.49,-0.27,-14.8,EXIT_STOP_LOSS,LOW_VOL,63,41
2,2023-12-14,2024-01-23,14,18,1.56,0.42,-0.2,-12.8,EXIT_STOP_LOSS,LOW_VOL,62,40
3,2024-06-13,2024-07-25,14,18,1.51,2.99,1.42,94.0,EXIT_PROFIT_TARGET,LOW_VOL,69,42
4,2024-06-14,2024-07-26,15,20,1.79,1.21,-0.58,-32.4,EXIT_REGIME_CHANGE,LOW_VOL,68,42
6,2024-08-19,2024-09-03,16,21,1.97,3.97,1.4,71.1,EXIT_PROFIT_TARGET,LOW_VOL,58,15
5,2024-08-16,2024-09-06,17,22,1.75,4.11,1.82,104.0,EXIT_PROFIT_TARGET,LOW_VOL,61,21
7,2024-11-29,2024-12-19,15,20,1.81,4.72,2.9,160.2,EXIT_PROFIT_TARGET,LOW_VOL,54,20
8,2024-12-02,2024-12-19,15,20,1.82,4.72,2.9,159.3,EXIT_PROFIT_TARGET,LOW_VOL,51,17
9,2025-07-10,2025-08-25,20,26,2.13,0.56,-1.57,-73.7,EXIT_STOP_LOSS,LOW_VOL,69,46
10,2025-07-11,2025-08-25,20,26,2.16,0.57,-1.59,-73.6,EXIT_STOP_LOSS,LOW_VOL,68,45
11,2025-12-01,2026-01-05,19,25,2.07,0.52,-1.55,-74.9,EXIT_STOP_LOSS,LOW_VOL,51,35
12,2025-12-03,2026-01-22,20,26,2.05,0.55,-1.5,-73.2,EXIT_STOP_LOSS,LOW_VOL,77,50
13,2026-01-29,2026-02-09,19,25,2.22,1.5,-0.72,-32.4,EXIT_REGIME_CHANGE,LOW_VOL,76,11
